example_id                                                             | status  | run_time        |
./spec/requests/home_spec.rb[1:1]                                      | passed  | 0.06554 seconds |
./spec/requests/home_spec.rb[1:2:1]                                    | passed  | 0.02777 seconds |
./spec/requests/locale_spec.rb[1:1:1:1]                                | passed  | 0.01127 seconds |
./spec/requests/locale_spec.rb[1:1:2:1]                                | passed  | 0.0114 seconds  |
./spec/requests/locale_spec.rb[1:2:1:1]                                | passed  | 0.0083 seconds  |
./spec/requests/locale_spec.rb[1:2:2:1]                                | passed  | 0.01154 seconds |
./spec/requests/locale_spec.rb[1:3:1]                                  | passed  | 0.01143 seconds |
./spec/requests/orders_ability_spec.rb[1:1]                            | passed  | 0.00483 seconds |
./spec/requests/orders_ability_spec.rb[1:2:1:1]                        | passed  | 0.03259 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:1:1]                      | passed  | 0.04833 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:1:2]                      | passed  | 0.05142 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:2:1]                      | passed  | 0.00863 seconds |
./spec/requests/products_spec.rb[1:1:1]                                | passed  | 0.05525 seconds |
./spec/requests/products_spec.rb[1:1:2]                                | passed  | 0.05989 seconds |
./spec/requests/products_spec.rb[1:2:1]                                | passed  | 0.09645 seconds |
./spec/requests/products_spec.rb[1:2:2]                                | passed  | 0.08388 seconds |
./spec/requests/products_spec.rb[1:3:1]                                | passed  | 0.04926 seconds |
./spec/requests/taxons_spec.rb[1:1]                                    | passed  | 0.07305 seconds |
./spec/requests/user_update_spec.rb[1:1:1]                             | passed  | 0.02317 seconds |
./spec/requests/user_update_spec.rb[1:1:2]                             | passed  | 0.02521 seconds |
./spec/requests/user_update_spec.rb[1:1:3]                             | passed  | 0.02016 seconds |
./spec/system/address_spec.rb[1:1:1:1]                                 | passed  | 1.84 seconds    |
./spec/system/address_spec.rb[1:1:2:1]                                 | passed  | 1.66 seconds    |
./spec/system/address_spec.rb[1:1:3:1]                                 | passed  | 2.29 seconds    |
./spec/system/address_spec.rb[1:2:1]                                   | passed  | 2.41 seconds    |
./spec/system/authentication/account_spec.rb[1:1:1]                    | passed  | 0.08166 seconds |
./spec/system/authentication/account_spec.rb[1:1:2]                    | passed  | 0.11245 seconds |
./spec/system/authentication/account_spec.rb[1:1:3]                    | passed  | 0.10987 seconds |
./spec/system/authentication/change_email_spec.rb[1:1]                 | passed  | 0.12976 seconds |
./spec/system/authentication/checkout_spec.rb[1:1]                     | passed  | 2.09 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:1]                   | passed  | 3.65 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:2]                   | passed  | 3.84 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:3]                   | passed  | 3.35 seconds    |
./spec/system/authentication/checkout_spec.rb[1:2:4]                   | passed  | 3.82 seconds    |
./spec/system/authentication/confirmation_spec.rb[1:1]                 | passed  | 0.98523 seconds |
./spec/system/authentication/password_reset_spec.rb[1:1:1]             | passed  | 0.13688 seconds |
./spec/system/authentication/password_reset_spec.rb[1:2]               | passed  | 0.04919 seconds |
./spec/system/authentication/sign_in_spec.rb[1:1]                      | passed  | 0.05621 seconds |
./spec/system/authentication/sign_in_spec.rb[1:2]                      | passed  | 0.03491 seconds |
./spec/system/authentication/sign_in_spec.rb[1:3]                      | passed  | 0.07345 seconds |
./spec/system/authentication/sign_out_spec.rb[1:1]                     | passed  | 1.43 seconds    |
./spec/system/authentication/sign_up_spec.rb[1:1:1]                    | passed  | 0.05043 seconds |
./spec/system/authentication/sign_up_spec.rb[1:2:1]                    | passed  | 0.03736 seconds |
./spec/system/automatic_promotion_adjustments_spec.rb[1:1:1]           | failed  | 11.41 seconds   |
./spec/system/caching/products_spec.rb[1:1]                            | passed  | 0.14287 seconds |
./spec/system/caching/products_spec.rb[1:2]                            | passed  | 0.15655 seconds |
./spec/system/caching/products_spec.rb[1:3]                            | passed  | 0.17392 seconds |
./spec/system/caching/products_spec.rb[1:4]                            | passed  | 0.16399 seconds |
./spec/system/caching/products_spec.rb[1:5]                            | passed  | 0.15704 seconds |
./spec/system/caching/taxons_spec.rb[1:1]                              | passed  | 0.0711 seconds  |
./spec/system/caching/taxons_spec.rb[1:2]                              | passed  | 0.07215 seconds |
./spec/system/cart_spec.rb[1:1]                                        | passed  | 0.02803 seconds |
./spec/system/cart_spec.rb[1:2]                                        | passed  | 0.97516 seconds |
./spec/system/cart_spec.rb[1:3]                                        | passed  | 1.13 seconds    |
./spec/system/cart_spec.rb[1:4]                                        | passed  | 1.03 seconds    |
./spec/system/cart_spec.rb[1:5:1]                                      | passed  | 0.18526 seconds |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:1:1:1]   | passed  | 1.2 seconds     |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:2:1:1]   | passed  | 1.45 seconds    |
./spec/system/checkout_confirm_insufficient_stock_spec.rb[1:1:2:1:2]   | passed  | 2.5 seconds     |
./spec/system/checkout_spec.rb[1:1:1:1]                                | passed  | 1.25 seconds    |
./spec/system/checkout_spec.rb[1:1:1:2]                                | passed  | 1.85 seconds    |
./spec/system/checkout_spec.rb[1:1:2:1]                                | passed  | 1.04 seconds    |
./spec/system/checkout_spec.rb[1:1:3:1]                                | failed  | 12.9 seconds    |
./spec/system/checkout_spec.rb[1:1:4:1]                                | passed  | 1.55 seconds    |
./spec/system/checkout_spec.rb[1:2:1:1:1]                              | passed  | 1.76 seconds    |
./spec/system/checkout_spec.rb[1:2:1:2:1]                              | passed  | 1.47 seconds    |
./spec/system/checkout_spec.rb[1:2:2:1:1]                              | passed  | 1.53 seconds    |
./spec/system/checkout_spec.rb[1:2:2:2:1:1]                            | passed  | 1.39 seconds    |
./spec/system/checkout_spec.rb[1:2:2:2:2:1]                            | passed  | 1.64 seconds    |
./spec/system/checkout_spec.rb[1:3:1]                                  | passed  | 1.15 seconds    |
